code,name,sector
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,-
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,-
148A,ハッチ・ワーク,情報・通信業
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,-
1491,中外鉱業,非鉄金属
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,-
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,-
1495,上場インデックスファンドアジアリート,-
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,-
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,-
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,-
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,-
149A,シンカ,情報・通信業
150A,ＪＳＨ,サービス業
1514,住石ホールディングス,鉱業
1515,日鉄鉱業,鉱業
1518,三井松島ホールディングス,その他製品
151A,ダイブ,サービス業
152A,オプティ,卸売業
153A,カウリス,情報・通信業
1540,純金上場信託（現物国内保管型）,-
1541,純プラチナ上場信託（現物国内保管型）,-
1542,純銀上場信託（現物国内保管型）,-
1543,純パラジウム上場信託（現物国内保管型）,-
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,-
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,-
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,-
154A,ＧＡＩＡ,その他金融業
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,-
1551,東証スタンダードＴＯＰ２０ＥＴＦ,-
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,-
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,-
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,-
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,-
155A,情報戦略テクノロジー,情報・通信業
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,-
1563,東証グロース・コアＥＴＦ,-
1566,上場インデックスファンド新興国債券,-
1568,ＴＯＰＩＸブル２倍上場投信,-
1569,ＴＯＰＩＸベア上場投信,-
156A,マテリアルグループ,サービス業
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,-
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,-
1572,中国Ｈ株ブル２倍上場投信,-
1573,中国Ｈ株ベア上場投信,-
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,-
1578,上場インデックスファンド日経２２５（ミニ）,-
1579,日経平均ブル２倍上場投信,-
157A,グリーンモンスター,サービス業
1580,日経平均ベア上場投信,-
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,-
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,-
158A,エクセリ,小売業
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,-
1592,上場インデックスファンドＪＰＸ日経インデックス４００,-
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,-
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,-
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,-
1597,ＭＡＸＩＳ　Ｊリート上場投信,-
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,-
159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,-
1605,ＩＮＰＥＸ,鉱業
160A,アズパートナーズ,サービス業
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,-
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,-
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,-
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,-
161A,三葉,サービス業
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,-
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,-
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,-
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,-
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,-
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,-
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,-
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,-
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,-
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,-
162A,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,-
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,-
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,-
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,-
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,-
163A,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,-
164A,アップルパーク,不動産業
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,-
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,-
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,-
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,-
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,-
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,-
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,-
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,-
1659,ｉシェアーズ　米国リート　ＥＴＦ,-
1660,ＭＡＸＩＳ高利回りＪリート上場投信,-
1662,石油資源開発,鉱業
1663,Ｋ＆Ｏエナジーグループ,鉱業
166A,タスキホールディングス,不動産業
1671,ＷＴＩ原油価格連動型上場投信,-
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,-
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,-
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,-
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,-
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,-
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,-
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,-
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,-
167A,リョーサン菱洋ホールディングス,卸売業
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,-
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,-
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,-
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,-
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,-
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,-
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,-
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,-
168A,イタミアート,その他製品
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,-
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,-
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,-
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,-
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,-
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,-
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,-
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,-
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,-
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,-
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,-
1711,ＳＤＳホールディングス,建設業
1716,第一カッター興業,建設業
1717,明豊ファシリティワークス,サービス業
1718,美樹工業,建設業
1719,安藤・間,建設業
171A,ゼロジャパン,卸売業
1720,東急建設,建設業
1721,コムシスホールディングス,建設業
1723,日本電技,建設業
1724,シンクレイヤ,建設業
1726,ビーアールホールディングス,建設業
172A,ネオホーム,不動産業
1736,オーテック,建設業
173A,ハンモック,情報・通信業
1758,太洋基礎工業,建設業
175A,Ｗｉｌｌ　Ｓｍａｒｔ,情報・通信業
1762,高松コンストラクショングループ,建設業
1764,工藤建設,建設業
1766,東建コーポレーション,建設業
1768,ソネック,建設業
176A,レジル,電気・ガス業
1770,藤田エンジニアリング,建設業
1773,ワイ・ティー・エル・コーポレーション・バーハッド,建設業
1776,三井住建道路,建設業
177A,コージンバイオ,化学
1780,ヤマウラ,建設業
1783,ｆａｎｔａｓｉｓｔａ,不動産業
1786,オリエンタル白石,建設業
1787,ナカボーテック,建設業
1788,三東工業社,建設業
178A,グローバルＸ　革新的優良企業　ＥＴＦ,-
1793,大本組,建設業
1795,マサル,建設業
1798,守谷商会,建設業
1799,第一建設工業,建設業
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,-
1801,大成建設,建設業
1802,大林組,建設業
1803,清水建設,建設業
1807,佐藤渡辺,建設業
1808,長谷工コーポレーション,建設業
180A,グローバルＸ　超長期米国債　ＥＴＦ,-
1810,松井建設,建設業
1811,錢高組,建設業
1812,鹿島建設,建設業
1813,不動テトラ,建設業
1814,大末建設,建設業
1815,鉄建建設,建設業
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,-
1820,西松建設,建設業
1822,大豊建設,建設業
1826,佐田建設,建設業
1827,ナカノフドー建設,建設業
1828,田辺工業,建設業
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,-
1833,奥村組,建設業
1835,東鉄工業,建設業
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,-
1840,土屋ホールディングス,建設業
1841,サンユー建設,建設業
1844,大盛工業,建設業
1847,イチケン,建設業
1848,富士ピー・エス,建設業
184A,学びエイド,情報・通信業
1850,南海辰村建設,建設業
1852,淺沼組,建設業
1853,森組,建設業
185A,リサイクルテック・ジャパン,サービス業
1860,戸田建設,建設業
1861,熊谷組,建設業
1866,北野建設,建設業
1867,植木組,建設業
186A,アストロスケールホールディングス,サービス業
1870,矢作建設工業,建設業
1871,ピーエス・コンストラクション,建設業
1873,日本ハウスホールディングス,建設業
1878,大東建託,不動産業
1879,新日本建設,建設業
1882,東亜道路工業,建設業
1885,東亜建設工業,建設業
1887,日本国土開発,建設業
1888,若築建設,建設業
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,-
1893,五洋建設,建設業
1897,金下建設,建設業
1898,世紀東急工業,建設業
1899,福田組,建設業
189A,Ｄ＆Ｍカンパニー,サービス業
1904,大成温調,建設業
1905,テノックス,建設業
1909,日本ドライケミカル,機械
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品
1911,住友林業,建設業
1914,日本基礎技術,建設業
191A,ミモザ,サービス業
1921,巴コーポレーション,建設業
1925,大和ハウス工業,建設業
1926,ライト工業,建設業
1928,積水ハウス,建設業
1929,日特建設,建設業
192A,インテグループ,サービス業
1930,北陸電気工事,建設業
1934,ユアテック,建設業
1938,日本リーテック,建設業
1939,四電工,建設業
1941,中電工,建設業
1942,関電工,建設業
1944,きんでん,建設業
1945,東京エネシス,建設業
1946,トーエネック,建設業
1948,弘電社,建設業
1949,住友電設,建設業
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,サービス業
1950,日本電設工業,建設業
1951,エクシオグループ,建設業
1952,新日本空調,建設業
1959,クラフティア,建設業
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,サービス業
1960,サンテック,建設業
1961,三機工業,建設業
1963,日揮ホールディングス,建設業
1964,中外炉工業,建設業
1965,テクノ菱和,建設業
1966,高田工業所,建設業
1967,ヤマト,建設業
1968,太平電業,建設業
1969,高砂熱学工業,建設業
196A,ＭＦＳ,その他金融業
1972,三晃金属工業,建設業
1975,朝日工業社,建設業
1976,明星工業,建設業
1979,大氣社,建設業
197A,タウンズ,医薬品
1980,ダイダン,建設業
1981,協和日成,建設業
1982,日比谷総合設備,建設業
198A,ＰｏｓｔＰｒｉｍｅ,情報・通信業
1992,神田通信機,建設業
1994,高橋カーテンウォール工業,建設業
1997,暁飯島工業,建設業
199A,メディエア,情報・通信業
2001,ニップン,食料品
2002,日清製粉グループ本社,食料品
2003,日東富士製粉,食料品
2004,昭和産業,食料品
2009,鳥越製粉,食料品
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,-
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,-
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,-
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,-
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,-
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,-
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,-
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,-
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,-
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,-
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,-
202A,豆蔵,情報・通信業
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,-
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,-
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,-
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,-
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,-
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,-
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,-
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,-
203A,シュンビン,サービス業
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,-
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,-
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,-
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,-
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,-
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,-
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,-
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,-
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,-
204A,タイヨーパッケージ,パルプ・紙
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,-
2053,中部飼料,食料品
2055,日和産業,食料品
205A,ロゴスホールディングス,建設業
2060,フィード・ワン,食料品
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,-
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ,-
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ,-
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ,-
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ,-
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,医薬品
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ,-
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ,-
2072,トップシェアインデックス（ネットリターン）ＥＴＮ,-
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ,-
207A,ライジングコーポレーション,建設業
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ,-
2081,政策保有解消推進ＥＴＦ,-
2082,投資家経営者一心同体ＥＴＦ,-
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信,-
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信,-
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信,-
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）,-
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）,-
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）,-
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）,-
208A,構造計画研究所ホールディングス,情報・通信業
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）,-
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）,-
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）,-
2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）,-
2094,東証ＲＥＩＴインバースＥＴＦ,-
2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）,-
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,-
2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ,-
2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ,-
209A,小野谷機工,機械
2108,日本甜菜製糖,食料品
2109,ＤＭ三井製糖,食料品
210A,ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数,-
2112,塩水港精糖,食料品
2114,フジ日本,食料品
2117,ウェルネオシュガー,食料品
211A,カドス・コーポレーション,建設業
2120,ＬＩＦＵＬＬ,サービス業
2121,ＭＩＸＩ,情報・通信業
2122,インタースペース,サービス業
2124,ジェイエイシーリクルートメント,サービス業
2127,日本Ｍ＆Ａセンターホールディングス,サービス業
212A,フィットイージー,サービス業
2130,メンバーズ,サービス業
2134,北浜キャピタルパートナーズ,サービス業
2136,ヒップ,サービス業
2138,クルーズ,情報・通信業
2139,中広,サービス業
213A,上場インデックスファンド日経半導体株,-
2146,ＵＴグループ,サービス業
2148,アイティメディア,サービス業
2152,幼児活動研究会,サービス業
2153,Ｅ・Ｊホールディングス,サービス業
2154,オープンアップグループ,サービス業
2156,セーラー広告,サービス業
2157,コシダカホールディングス,サービス業
2158,ＦＲＯＮＴＥＯ,サービス業
215A,タイミー,サービス業
2160,ジーエヌアイグループ,医薬品
2162,ｎｍｓ　ホールディングス,サービス業
